1788589316,421.74,89,93475,68
1788589321,385.38,87,93475,67
1788589326,419.48,86,93475,67
1788589331,380.76,88,93475,67
1788589336,412.95,84,93475,67
1788589341,410.16,89,93475,68
1788589346,412.94,88,93475,68
1788589351,389.85,88,93475,67
1788589356,435.36,100,93475,74
1788589361,428.88,89,93475,68
1788589366,415.18,86,93475,68
1788589371,413.60,100,93475,73
1788589376,417.93,90,93475,68
1788589381,415.91,86,93475,68
1788589386,414.13,90,93475,68
1788589391,412.21,88,93475,67
1788589396,417.70,88,93475,68
1788589402,417.65,90,93475,68
1788589407,390.46,88,93475,67
1788589412,388.33,71,93475,68
1788589417,429.58,89,93475,68
1788589422,410.38,86,93475,67
1788589427,391.43,86,93475,67
1788589432,405.52,84,93475,68
1788589437,420.75,82,93475,72
1788589442,389.98,89,93475,67
1788589447,422.82,88,93475,72
1788589452,391.97,87,93475,67
1788589457,414.35,89,93475,67
1788589462,388.51,74,93475,66
1788589467,425.05,91,93475,67
1788589472,393.14,88,93475,67
1788589477,388.26,83,93475,67
1788589482,389.83,84,93475,67
1788589487,408.75,86,93475,67
1788589492,418.05,87,93475,67
1788589497,440.41,91,93475,67
1788589502,411.88,86,93475,67
1788589507,396.04,89,93475,67
1788589512,420.13,89,93475,68
1788589517,416.52,91,93475,67
1788589522,409.29,90,93475,67
1788589527,424.05,94,93475,69
1788589532,386.54,82,93475,67
1788589537,408.09,89,93475,67
1788589542,406.10,89,93475,69
1788589547,409.71,82,93475,71
1788589552,413.27,86,93475,67
1788589557,386.02,65,93475,65
1788589562,432.65,97,93475,70
1788589568,390.49,85,93475,67
1788589573,412.64,87,93475,67
1788589578,406.46,88,93475,67
1788589583,392.78,89,93475,67
1788589588,386.35,88,93475,67
1788589593,410.86,97,93475,69
1788589598,415.90,90,93475,67
1788589603,408.20,86,93475,67
1788589608,347.48,73,93475,69
1788589613,357.93,78,93475,65
1788589618,415.88,85,93475,67
1788589623,397.96,79,93475,66
1788589628,395.57,82,93475,66
1788589633,398.51,64,93475,68
1788589638,379.09,83,93475,66
1788589643,420.37,100,93475,71
